Institute,Academic Program Name,Category,Gender,Closing Rank,College_Branch,State
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,45820,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,SC,Gender-Neutral,54803,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,ST,Gender-Neutral,85528,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,VJ,Gender-Neutral,53198,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,55202,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,47207,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,58799,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,OBC,Gender-Neutral,55212,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Female-Only,39555,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,SC,Female-Only,58069,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,ST,Female-Only,81275,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,VJ,Female-Only,55889,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,71604,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,59895,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,85506,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,OBC,Female-Only,50933,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,66222,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,114710,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati",Civil Engineering,EWS,Gender-Neutral,51497,"Government College of Engineering, Amravati - Civil Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,6839,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Gender-Neutral,14995,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Gender-Neutral,42063,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",VJ,Gender-Neutral,10351,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,13430,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,10052,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,15513,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,7626,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Female-Only,7359,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Female-Only,18093,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Female-Only,46043,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Female-Only,8159,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,41373,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,14766,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",EWS,Gender-Neutral,16792,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,45737,"Government College of Engineering, Amravati - Computer Science and
Engineering",Maharashtra
